latitude,longitude,gold_present,rock_type,rock_code,rock_favorability,is_intrusive,is_metamorphic,is_sedimentary,is_volcanic,clay_gridcode,clay_percent,soil_depth_code,soil_depth_class,dist_to_faults_m,inv_dist_faults,dist_to_dykes_m,inv_dist_dykes,dist_to_deposits_m,inv_dist_deposits,dist_to_rivers_m,inv_dist_rivers,structural_corridor
-19.853314826107198,18.258660466750417,0,unconsolidated to semi-consolidated sediments,Q/TKA,0.2,0,0,0,0,5.0,,17.0,17.0,10741.575975490448,9.30875427161543e-05,87732.02505952283,1.1398216342381286e-05,45755.0352250272,2.1855040435256716e-05,11642.191801200388,8.588710184237472e-05,1.061031950659386e-09
-19.853314826107198,18.358660466750415,0,unconsolidated to semi-consolidated sediments,Q/TKA,0.2,0,0,0,0,5.0,,20.0,20.0,18274.5774500281,5.471783327965171e-05,95209.36714449836,1.0503057912614971e-05,56148.98697916873,1.7809443132569083e-05,4791.178207994772,0.00020867337494496845,5.747045717889927e-10
-19.853314826107198,18.458660466750416,0,unconsolidated to semi-consolidated sediments,Q/TKA,0.2,0,0,0,0,3.0,,20.0,20.0,27791.644368687746,3.598074320436519e-05,103216.243631895,9.688303667227473e-06,66573.30704744557,1.502080974402526e-05,1399.4839139031565,0.00071403890474757,3.4859236633642125e-10
-19.853314826107198,18.558660466750418,0,unconsolidated to semi-consolidated sediments,Q/TKA,0.2,0,0,0,0,2.0,,20.0,20.0,37827.523900361106,2.6435078530527967e-05,111639.06743749975,8.957357541546069e-06,77016.08111700253,1.2984132681954328e-05,10096.159094835333,9.903775810678244e-05,2.3678845003678724e-10
-19.853314826107198,18.658660466750415,0,unconsolidated to semi-consolidated sediments,NDA_uc,0.2,0,0,0,0,3.0,,20.0,20.0,48058.95146348322,2.0807345191761527e-05,120390.84808411343,8.306210228630565e-06,87471.07962510167,1.1432219335425886e-05,145.77806773668914,0.006813006979993351,1.728301834624566e-10
-19.853314826107198,18.758660466750413,0,unconsolidated to semi-consolidated sediments,Jbb_uc,0.2,0,0,0,0,2.0,,20.0,20.0,58383.78210487007,1.7127750827327087e-05,129405.12928879035,7.727609236872706e-06,97934.73855740677,1.0210777135395085e-05,1408.1966966211592,0.0007096241443069708,1.3235656550010693e-10
-19.853314826107198,18.858660466750415,0,unconsolidated to semi-consolidated sediments,Q/TKA,0.2,0,0,0,0,2.0,,20.0,20.0,68760.45556989042,1.4543031291470867e-05,138630.9743050533,7.2133431339551284e-06,108404.87795472116,9.224592050420723e-06,5439.531762926034,0.00018380556231918378,1.0490387491322596e-10
-19.853314826107198,18.958660466750416,0,unconsolidated to semi-consolidated sediments,Q/TKA,0.2,0,0,0,0,3.0,,20.0,20.0,79169.04039024869,1.2631040669813391e-05,148029.08297113574,6.755383635061457e-06,118880.09432461037,8.411766443446873e-06,15690.435144351728,6.372903375635204e-05,8.53275254346531e-11
-19.853314826107198,19.058660466750414,0,unconsolidated to semi-consolidated sediments,NDA_uc,0.2,0,0,0,0,2.0,,20.0,20.0,89598.82753677509,1.1160735768041105e-05,157568.87823862862,6.346390637464158e-06,129359.44708866382,7.730338155948075e-06,6426.237197026451,0.00015558784736661782,7.083038898550741e-11
-19.753314826107196,12.258660466750438,0,No Data,ND,0.2,0,0,0,0,,,,,62637.86949229836,1.5964528225129495e-05,120046.83782503956,8.33001258596113e-06,128176.19430156838,7.801699869067612e-06,61079.32792822012,1.6371883287450123e-05,1.3298472104426039e-10
-19.753314826107196,12.358660466750438,0,No Data,ND,0.2,0,0,0,0,,,,,53115.275890478784,1.8826621091846016e-05,110205.18394963308,9.073900975076177e-06,118432.28440771607,8.443572303183114e-06,52384.038011059914,1.9089420146815064e-05,1.7083089548269127e-10
-19.753314826107196,12.458660466750437,0,No Data,ND,0.2,0,0,0,0,,,,,43298.923448122536,2.3094729051844536e-05,100497.30851551481,9.9504162286037e-06,108829.88744203228,9.188567910306165e-06,44473.416813540636,2.24848367139362e-05,2.2980216675267921e-10
-19.753314826107196,12.558660466750437,0,No Data,ND,0.2,0,0,0,0,,,,,33333.66801599152,2.9998798833702908e-05,90965.76937082433,1.0993025331300035e-05,99409.7593261503,1.0059273329953802e-05,37842.14630116888,2.642486414955176e-05,3.2977755548747003e-10
-19.753314826107196,12.658660466750437,0,No Data,ND,0.2,0,0,0,0,,,,,23823.074859190816,4.1974347625684255e-05,81672.02709942142,1.2243944365900503e-05,90228.73210845955,1.1082821334302114e-05,33261.8644016821,3.0063556401036532e-05,5.139315771238459e-10
-19.753314826107196,12.758660466750436,0,No Data,ND,0.2,0,0,0,0,,,,,13922.80910503332,7.181942760465668e-05,72707.00580179469,1.375364361836639e-05,81367.49250976948,1.228976928483633e-05,31496.146656890935,3.174890763577215e-05,9.877788121495133e-10
-19.753314826107196,12.858660466750436,0,No Data,ND,0.2,0,0,0,0,,,,,4199.054167613383,0.00023809216740845867,64208.19888552186,1.5574092456485763e-05,72894.89636523045,1.3718193339577005e-05,22864.07395595282,4.3734824646812674e-05,3.7080694283844217e-09
-19.753314826107196,12.958660466750436,0,unconsolidated to semi-consolidated sediments,QNA,0.2,0,0,0,0,1.0,,20.0,20.0,5389.365578089941,0.0001855161742766892,56386.43658579655,1.7734446900746156e-05,64951.198381561066,1.539593770368648e-05,13068.080616109773,7.651647651230623e-05,3.290026741939515e-09
-19.753314826107196,13.058660466750435,0,No Data,P/MzKA,0.2,0,0,0,0,1.0,,17.0,17.0,5004.263937213153,0.00019978966395062538,49562.901277918376,2.0175974332462773e-05,57827.609627499354,1.7292478695951008e-05,4635.3275592649725,0.00021568795285002178,4.03095113175918e-09
-19.753314826107196,13.158660466750435,0,pelitic rocks,NKs,0.2,0,0,0,0,1.0,,15.0,15.0,616.3503876852452,0.0016198256613225745,44201.90261029867,2.2622948741990844e-05,51862.8081485436,1.928126830054382e-05,645.2297334264397,0.0015474373094809478,3.664523290706202e-08
-19.753314826107196,13.258660466750435,0,marble,NKb,0.2,0,0,0,0,1.0,,16.0,16.0,5923.846153264079,0.0001687807538173943,40882.46715267605,2.4459765025935292e-05,47495.03086292891,2.105439090028277e-05,5091.726151956715,0.0001963584866262213,4.128337579273695e-09
-19.753314826107196,13.358660466750434,0,volcanic rocks,KET,0.2,0,0,0,1,5.0,,17.0,17.0,6432.047051107569,0.00015544733188727904,35232.744027359084,2.838188298193623e-05,45189.38486272984,2.2128601095954294e-05,2425.787371316976,0.0004120674154725459,4.411887983478958e-09
-19.753314826107196,13.458660466750434,0,volcanic rocks,KET,0.2,0,0,0,1,5.0,,15.0,15.0,4008.027531000079,0.00024943704982503405,31279.401720211223,3.1968898895370305e-05,45261.76796513395,2.2093213582746487e-05,2926.8485152444377,0.0003415477251617688,7.974227826615958e-09
-19.753314826107196,13.558660466750434,0,volcanic rocks,KET,0.2,0,0,0,1,4.0,,12.0,12.0,14448.205062020324,6.92079595872368e-05,30586.003268349355,3.2693624518449454e-05,47701.05669435685,2.0963456699725484e-05,1002.7167412115352,0.0009962970218001456,2.2626590444331438e-09
-19.753314826107196,13.658660466750433,0,volcanic rocks,KET,0.2,0,0,0,1,5.0,,12.0,12.0,19868.897561774378,5.0327385779974813e-05,33356.068137211805,2.9978653875891454e-05,43378.88497973544,2.3052158862734232e-05,7711.96254165509,0.00012965186782631704,1.5087472787763264e-09
-19.753314826107196,13.758660466750433,0,volcanic rocks,KET,0.2,0,0,0,1,4.0,,11.0,11.0,15003.728700465117,6.664565684343242e-05,38855.46941592889,2.5735740149105213e-05,41193.445602871594,2.4275117321406354e-05,4145.005349497822,0.00024119602260549986,1.7151753065890124e-09
-19.753314826107196,13.858660466750433,0,volcanic rocks,KET,0.2,0,0,0,1,4.0,,20.0,20.0,9974.68090643608,0.00010024378379573297,46117.69782167192,2.1683179431186884e-05,41619.67981758719,2.4026517692232436e-05,5932.817102224867,0.00016852558526366662,2.1736039509039823e-09
-19.753314826107196,13.958660466750432,0,volcanic rocks,KET,0.2,0,0,0,1,4.0,,16.0,16.0,9728.401465478673,0.00010278124543921278,40688.2264790834,2.4576530116984587e-05,44582.5048153265,2.2429820269675824e-05,12799.014126392212,7.812491377943957e-05,2.526006373997998e-09
-19.753314826107196,14.058660466750432,0,volcanic rocks,KET,0.2,0,0,0,1,5.0,,12.0,12.0,720.4713796841926,0.001386056367804537,31113.429468861814,3.2139429103167826e-05,43396.437552896954,2.3042835162355018e-05,2470.944036940697,0.0004045399026256315,4.454706036604822e-08
-19.753314826107196,14.158660466750431,0,volcanic rocks,KET,0.2,0,0,0,1,5.0,,9.0,9.0,8487.81137448666,0.00011780212280432165,22368.0313951582,4.470466254593621e-05,37580.7494855661,2.6608660152558005e-05,4516.384364263794,0.00022136703883575152,5.266304147162136e-09
-19.753314826107196,14.258660466750431,0,gneiss,MHU,1.0,0,1,0,0,3.0,,16.0,16.0,1762.6506570421716,0.0005670057139757517,15885.991225574013,6.294458061953571e-05,34078.75623084439,2.9342932890316135e-05,9946.755293125021,0.00010052519091328157,3.568993687508411e-08
-19.753314826107196,14.35866046675043,0,gneiss,MHU,1.0,0,1,0,0,3.0,,16.0,16.0,12137.208210799214,8.238448234149687e-05,14957.946108512793,6.684962916143691e-05,33621.16441657565,2.9742285107231295e-05,6612.154125530497,0.0001512137750032828,5.5073720931860125e-09
-19.753314826107196,14.45866046675043,0,gneiss,MHU,1.0,0,1,0,0,4.0,,20.0,20.0,19635.616369783333,5.092527048289195e-05,20200.887987624257,4.9500323960443856e-05,36323.04335478451,2.752997484979278e-05,6787.043133157212,0.0001473178617730566,2.5208173866763806e-09
-19.753314826107196,14.55866046675043,0,gneiss,MHU,1.0,0,1,0,0,3.0,,14.0,14.0,16349.071297120017,6.116181280360196e-05,22056.008171353333,4.533706440290283e-05,40097.28464406881,2.4938722662988435e-05,6237.0897677893045,0.00016030548408641875,2.772897046075189e-09
-19.753314826107196,14.65866046675043,0,gneiss,MHU,1.0,0,1,0,0,3.0,,19.0,19.0,6612.0018397729655,0.00015121725718956274,16328.26498869014,6.123974353362585e-05,36644.738606407984,2.7288302488331807e-05,1254.9637386334748,0.0007962013306913058,9.260506048147162e-09
-19.753314826107196,14.75866046675043,0,gneiss,MHU,1.0,0,1,0,0,4.0,,15.0,15.0,190.35495723063377,0.005225890222403453,16324.203688566113,6.125497844173194e-05,36025.78350781487,2.775712685488788e-05,6634.262659831833,0.00015070993437136133,3.2011179291218123e-07
-19.753314826107196,14.858660466750429,0,gneiss,MHU,1.0,0,1,0,0,3.0,,18.0,18.0,2656.516821414878,0.0003762911270934473,22046.869336521653,4.535585660168664e-05,38377.695822368914,2.605612250682976e-05,16495.913793265492,6.06173986559976e-05,1.706700640093744e-08
-19.753314826107196,14.958660466750429,0,gneiss,MHU,1.0,0,1,0,0,4.0,,19.0,19.0,4235.508368168965,0.00023604343792012946,29296.031444982473,3.4133151062691165e-05,43218.11228883878,2.3137911609957967e-05,8874.760363204261,0.00011266640367462416,8.056906323884743e-09
-19.753314826107196,15.058660466750428,0,gneiss,MHU,1.0,0,1,0,0,5.0,,20.0,20.0,7342.48206805615,0.00013617518102889632,37825.899119480266,2.6436213997911753e-05,49826.995236587994,2.006903940750388e-05,5419.206769597862,0.00018449480665738374,3.5999562268842757e-09
-19.753314826107196,15.158660466750428,0,granitic rocks,MgFF,1.0,1,0,0,0,3.0,,16.0,16.0,8730.011367574883,0.00011453426847132361,47149.78762720819,2.1208553458457047e-05,53372.48364958723,1.873589527274062e-05,4569.109126569319,0.00021881315572669445,2.4291061556993382e-09
-19.753314826107196,15.258660466750428,0,gneiss,MHU,1.0,0,1,0,0,4.0,,20.0,20.0,10662.577562762528,9.377715819238979e-05,56878.579147534205,1.758100209226585e-05,57116.73308949067,1.750769762576579e-05,271.40870818565,0.003670954598553021,1.6486964143871505e-09
-19.753314826107196,15.358660466750427,0,gneiss,MHU,1.0,0,1,0,0,4.0,,20.0,20.0,7087.636982408384,0.00014107084372943121,66500.43652616994,1.503726915141864e-05,62409.2674772043,1.6023004553942275e-05,4992.739744741876,0.00020025072412973525,2.1213202465771758e-09
-19.753314826107196,15.458660466750427,0,gneiss,MHU,1.0,0,1,0,0,4.0,,20.0,20.0,6926.820469893735,0.00014434554191259793,75287.83670456149,1.3282181579243521e-05,68894.2334957825,1.4514792232487552e-05,7376.706574105143,0.00013554347681837592,1.917223697837432e-09
